label	metaGroupId	groupId	goodPeakCount	medMz	medRt	maxQuality	note	compound	compoundId	category	database	expectedRtDiff	ppmDiff	parent	ms2EventCount	fragNumIonsMatched	fragFracMatched	ticMatched	dotProduct	weigtedDotProduct	hyperGeomScore	spearmanRankCorrelation	mzFragError	170610_2017_06_09TR_HILICNeg15_MH_ECO2_T0.mzXML	170610_2017_06_09TR_HILICNeg15_MH_ECO2_T4.mzXML	
	10	2	1	179.0556	1.163627	0.7753791		D-FRUCTOSE	D-FRUCTOSE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	4.016373	1000	179.0556	0	0	0	0	0	0	0	0	1000	9951.656	14278.34
	10	2	1	179.0556	1.163627	0.7753791		D-FRUCTOSE	D-FRUCTOSE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	4.456373	1000	179.0556	0	0	0	0	0	0	0	0	1000	9951.656	14278.34
	10	2	1	179.0556	1.163627	0.7753791		D-TAGATOSE	D-TAGATOSE	B-1.5min	2017_05_10RG_HILIC15-Neg_MSMLS-List	4.026373	1000	179.0556	0	0	0	0	0	0	0	0	1000	9951.656	14278.34
	11	2	2	173.0449	1.362856	0.8075897		SHIKIMATE	SHIKIMATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	2.667144	1000	173.0449	0	0	0	0	0	0	0	0	1000	10752.02	12394.22
	12	0	2	147.0658	1.589476	0.712184		MEVALOLACTONE	MEVALOLACTONE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.0705241	1000	147.0658	0	0	0	0	0	0	0	0	1000	12876.53	13513.59
	13	3	2	172.0974	1.670247	0.7398475		N-ACETYL-L-LEUCINE	N-ACETYL-L-LEUCINE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.07024658	1000	172.0974	0	0	0	0	0	0	0	0	1000	49503.98	128491.5
	14	11	2	144.0661	1.7135	0.8189239		4-ACETAMIDOBUTANOATE	4-ACETAMIDOBUTANOATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.06649995	1000	144.0661	0	0	0	0	0	0	0	0	1000	116682.6	114882.3
	15	8	2	119.0359	1.805633	0.8199589		PURINE	PURINE	B-1.5min	2017_05_10RG_HILIC15-Neg_MSMLS-List	1.214367	1000	119.0359	0	0	0	0	0	0	0	0	1000	303473	358414.9
	16	1	2	100.0401	1.980075	0.7527563		1-AMINOCYCLOPROPANE-1-CARBOXYLATE	1-AMINOCYCLOPROPANE-1-CARBOXYLATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	6.079926	1000	100.0401	0	0	0	0	0	0	0	0	1000	10465.25	6126.459
	17	8	1	131.0345	1.996667	0.7663086		ETHYLMALONIC ACID	ETHYLMALONIC ACID	B-1.5min	2017_05_10RG_HILIC15-Neg_MSMLS-List	2.703333	1000	131.0345	0	0	0	0	0	0	0	0	1000	141663.8	227010
	17	8	1	131.0345	1.996667	0.7663086		GLUTARATE	GLUTARATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.3266667	1000	131.0345	0	0	0	0	0	0	0	0	1000	141663.8	227010
	18	7	1	178.0504	2.145442	0.7713045		HIPPURATE	HIPPURATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.2345586	1000	178.0504	0	0	0	0	0	0	0	0	1000	164793.4	39402.79
	19	1	2	226.0845	2.3187	0.5863458		DEOXYCYTIDINE	DEOXYCYTIDINE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	3.4013	1000	226.0845	0	0	0	0	0	0	0	0	1000	12765.45	12424.37
	20	1	1	206.0816	2.546133	0.5680516		N-ACETYL-L-PHENYLALANINE	N-ACETYL-L-PHENYLALANINE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.09613323	1000	206.0816	0	0	0	0	0	0	0	0	1000	7202.352	7742.156
	21	1	2	190.0538	2.67745	0.7086413		N-ACETYL-DL-METHIONINE	N-ACETYL-DL-METHIONINE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.1174502	1000	190.0538	0	0	0	0	0	0	0	0	1000	30217.84	168412.1
	22	17	1	138.0192	3.199783	0.7006645		6-HYDROXYNICOTINATE	6-HYDROXYNICOTINATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.8202167	1000	138.0192	0	0	0	0	0	0	0	0	1000	59013.55	56484.96
	23	5	1	182.0452	3.249075	0.6700402		4-PYRIDOXATE	4-PYRIDOXATE	B-5min	2017_05_10RG_HILIC15-Neg_MSMLS-List	1.970925	1000	182.0452	0	0	0	0	0	0	0	0	1000	2880.634	3104.298
	23	5	1	182.0452	3.249075	0.6700402		4-PYRIDOXATE	4-PYRIDOXATE	B-5min	2017_05_10RG_HILIC15-Neg_MSMLS-List	5.550925	1000	182.0452	0	0	0	0	0	0	0	0	1000	2880.634	3104.298
	23	5	1	182.0452	3.249075	0.6700402		4-PYRIDOXATE	4-PYRIDOXATE	B-5min	2017_05_10RG_HILIC15-Neg_MSMLS-List	4.430925	1000	182.0452	0	0	0	0	0	0	0	0	1000	2880.634	3104.298
	24	11	1	114.0193	3.471075	0.7659		MALEAMATE	MALEAMATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-2.488075	1000	114.0193	0	0	0	0	0	0	0	0	1000	14215.31	13165.82
	25	22	1	121.0515	3.60305	0.7087541		ERYTHRITOL	ERYTHRITOL	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.2130499	1000	121.0515	0	0	0	0	0	0	0	0	1000	183565.7	190630.8
	26	4	1	427.0068	3.83975	0.8288889		INOSINE 5-DIPHOSPHATE	INOSINE 5-DIPHOSPHATE	B-2min	2017_05_10RG_HILIC15-Neg_MSMLS-List	7.36025	1000	427.0068	0	0	0	0	0	0	0	0	1000	4998.146	5094.315
	27	24	2	121.0515	4.105717	0.7882404		ERYTHRITOL	ERYTHRITOL	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.7157166	1000	121.0515	0	0	0	0	0	0	0	0	1000	242987.5	274437.1
	28	7	2	207.0768	4.135508	0.8008717		L-KYNURENINE	L-KYNURENINE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	2.624492	1000	207.0768	0	0	0	0	0	0	0	0	1000	47720.32	37141.25
	28	7	2	207.0768	4.135508	0.8008717		KYNURENINE	KYNURENINE	0	2017_05_10RG_HILIC15-Neg_MSMLS-List	2.624492	1000	207.0768	0	0	0	0	0	0	0	0	1000	47720.32	37141.25
	29	8	1	188.0559	4.249242	0.8196856		N-ACETYL-DL-GLUTAMIC ACID	N-ACETYL-DL-GLUTAMIC ACID	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.8807583	1000	188.0559	0	0	0	0	0	0	0	0	1000	2843.391	139356.4
	30	10	2	115.0033	4.343451	0.8259315		FUMARATE	FUMARATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.3065495	1000	115.0033	0	0	0	0	0	0	0	0	1000	382494.9	2809379
	30	10	2	115.0033	4.343451	0.8259315		MALEIC ACID	MALEIC ACID	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.7565494	1000	115.0033	0	0	0	0	0	0	0	0	1000	382494.9	2809379
	30	23	1	71.01358	4.343451	0.8272732		PROPENOATE	PROPENOATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-3.764451	1000	71.01358	0	0	0	0	0	0	0	0	1000	19534.03	209358.4
	31	4	2	338.9911	4.417025	0.645463		FRUCTOSE 1-6-BIPHOSPHATE	FRUCTOSE 1-6-BIPHOSPHATE	B-1.5min	2017_05_10RG_HILIC15-Neg_MSMLS-List	5.472975	1000	338.9911	0	0	0	0	0	0	0	0	1000	13902.63	21998.64
	32	22	2	135.0308	4.461067	0.8353991		HYPOXANTHINE	HYPOXANTHINE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.03106689	1000	135.0308	0	0	0	0	0	0	0	0	1000	2047652	423681.8
	32	3	2	171.0074	4.465967	0.8059613		GLYCEROL 2-PHOSPHATE	GLYCEROL 2-PHOSPHATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	3.954033	1000	171.0074	0	0	0	0	0	0	0	0	1000	158884.1	28137.96
	32	3	2	171.0074	4.465967	0.8059613		SN-GLYCEROL 3-PHOSPHATE	SN-GLYCEROL 3-PHOSPHATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	4.064033	1000	171.0074	0	0	0	0	0	0	0	0	1000	158884.1	28137.96
	33	6	2	160.061	4.480725	0.7627028		ALPHA-AMINOADIPATE	ALPHA-AMINOADIPATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	3.699275	1000	160.061	0	0	0	0	0	0	0	0	1000	80835.84	132488.5
	33	6	2	160.061	4.480725	0.7627028		N-METHYL-L-GLUTAMATE	N-METHYL-L-GLUTAMATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	3.719275	1000	160.061	0	0	0	0	0	0	0	0	1000	80835.84	132488.5
	34	8	2	173.0562	4.5884	0.720681		N-ALPHA-ACETYL-L-ASPARAGINE	N-ALPHA-ACETYL-L-ASPARAGINE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	1.0316	1000	173.0562	0	0	0	0	0	0	0	0	1000	44056.92	54798.26
	35	23	2	128.0349	4.63615	0.8109334		5-OXO-D-PROLINE	5-OXO-D-PROLINE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.1261501	1000	128.0349	0	0	0	0	0	0	0	0	1000	1.75889e+008	2.183774e+008
	35	23	2	128.0349	4.63615	0.8109334		5-OXO-L-PROLINE	5-OXO-L-PROLINE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.1161504	1000	128.0349	0	0	0	0	0	0	0	0	1000	1.75889e+008	2.183774e+008
	36	0	1	308.0977	4.657366	0.7512165		N-ACETYLNEURAMINATE	N-ACETYLNEURAMINATE	B-2min	2017_05_10RG_HILIC15-Neg_MSMLS-List	4.142634	1000	308.0977	0	0	0	0	0	0	0	0	1000	84608.43	0
	37	6	1	172.0417	4.664625	0.5519364		2-QUINOLINECARBOXYLIC ACID	2-QUINOLINECARBOXYLIC ACID	B-1.5min	2017_05_10RG_HILIC15-Neg_MSMLS-List	-3.709625	1000	172.0417	0	0	0	0	0	0	0	0	1000	160826.7	155846.1
	37	6	1	172.0417	4.664625	0.5519364		4-QUINOLINECARBOXYLIC ACID	4-QUINOLINECARBOXYLIC ACID	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.3746247	1000	172.0417	0	0	0	0	0	0	0	0	1000	160826.7	155846.1
	38	1	2	157.0361	4.697975	0.8443788		ALLANTOIN	ALLANTOIN	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.2120247	1000	157.0361	0	0	0	0	0	0	0	0	1000	25304.37	31636.67
	39	32	1	134.0468	4.833	0.8256893		ADENINE	ADENINE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.2530003	1000	134.0468	0	0	0	0	0	0	0	0	1000	1.206532e+007	18435.76
	39	32	1	134.0468	4.833	0.8256893		ADENINE	ADENINE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.04300022	1000	134.0468	0	0	0	0	0	0	0	0	1000	1.206532e+007	18435.76
	39	32	1	134.0468	4.833	0.8256893		ADENINE	ADENINE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.243	1000	134.0468	0	0	0	0	0	0	0	0	1000	1.206532e+007	18435.76
	40	11	1	115.0033	4.973725	0.7819666		MALEIC ACID	MALEIC ACID	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.1262751	1000	115.0033	0	0	0	0	0	0	0	0	1000	325638	428061
	40	11	1	115.0033	4.973725	0.7819666		FUMARATE	FUMARATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.3237247	1000	115.0033	0	0	0	0	0	0	0	0	1000	325638	428061
	41	25	1	71.01361	4.978575	0.7898809		PROPENOATE	PROPENOATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-4.399575	1000	71.01361	0	0	0	0	0	0	0	0	1000	47610.18	28466.28
	42	12	1	188.0559	5.056458	0.7930312		N-ACETYL-DL-GLUTAMIC ACID	N-ACETYL-DL-GLUTAMIC ACID	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.07354164	1000	188.0559	0	0	0	0	0	0	0	0	1000	46690.49	62357.48
	43	3	2	167.0205	5.06135	0.7686639		URATE	URATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.7686501	1000	167.0205	0	0	0	0	0	0	0	0	1000	25015.71	26489.32
	44	7	2	223.0717	5.124492	0.8220962		3-HYDROXYKYNURENINE	3-HYDROXYKYNURENINE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	2.095508	1000	223.0717	0	0	0	0	0	0	0	0	1000	29037	24910.56
	45	13	1	174.0402	5.217092	0.5754907		N-ACETYL-L-ASPARTIC ACID	N-ACETYL-L-ASPARTIC ACID	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.5329084	1000	174.0402	0	0	0	0	0	0	0	0	1000	79228.41	92277.24
	46	7	2	242.0775	5.319484	0.7594078		CYTIDINE	CYTIDINE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.7105165	1000	242.0775	0	0	0	0	0	0	0	0	1000	38123.25	39001.87
	47	27	1	101.024	5.37305	0.6099039		ACETOACETATE	ACETOACETATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-4.43205	1000	101.024	0	0	0	0	0	0	0	0	1000	40583.75	3102.941
	47	27	1	101.024	5.37305	0.6099039		SUCCINATE SEMIALDEHYDE	SUCCINATE SEMIALDEHYDE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-4.68005	1000	101.024	0	0	0	0	0	0	0	0	1000	40583.75	3102.941
	47	27	1	101.024	5.37305	0.6099039		ACETOACETATE	ACETOACETATE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-4.69305	1000	101.024	0	0	0	0	0	0	0	0	1000	40583.75	3102.941
	47	27	1	101.024	5.37305	0.6099039		SUCCINATE SEMIALDEHYDE	SUCCINATE SEMIALDEHYDE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-4.45705	1000	101.024	0	0	0	0	0	0	0	0	1000	40583.75	3102.941
	48	15	1	179.0555	5.37635	0.7573662		D-GALACTOSE	D-GALACTOSE	B-2min	2017_05_10RG_HILIC15-Neg_MSMLS-List	2.35365	1000	179.0555	0	0	0	0	0	0	0	0	1000	381729.9	0
	48	15	1	179.0555	5.37635	0.7573662		D-TAGATOSE	D-TAGATOSE	B-1.5min	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.2536502	1000	179.0555	0	0	0	0	0	0	0	0	1000	381729.9	0
	48	15	1	179.0555	5.37635	0.7573662		L-SORBOSE	L-SORBOSE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.8763499	1000	179.0555	0	0	0	0	0	0	0	0	1000	381729.9	0
	48	15	1	179.0555	5.37635	0.7573662		D-GALACTOSE	D-GALACTOSE	B-2min	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.4863501	1000	179.0555	0	0	0	0	0	0	0	0	1000	381729.9	0
	48	15	1	179.0555	5.37635	0.7573662		D-FRUCTOSE	D-FRUCTOSE	T	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.1963501	1000	179.0555	0	0	0	0	0	0	0	0	1000	381729.9	0
	48	15	1	179.0555	5.37635	0.7573662		D-GALACTOSE	D-GALACTOSE	B-2min	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.3036499	1000	179.0555	0	0	0	0	0	0	0	0	1000	381729.9	0
	48	15	1	179.0555	5.37635	0.7573662		ALLOSE	ALLOSE	B1.5min	2017_05_10RG_HILIC15-Neg_MSMLS-List	-1.56635	1000	179.0555	0	0	0	0	0	0	0	0	1000	381729.9	0
	48	15	1	179.0555	5.37635	0.7573662		D-PSICOSE	D-PSICOSE	B-1min	2017_05_10RG_HILIC15-Neg_MSMLS-List	-1.67635	1000	179.0555	0	0	0	0	0	0	0	0	1000	381729.9	0
	48	15	1	179.0555	5.37635	0.7573662		ALLOSE	ALLOSE	B1.5min	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.5763497	1000	179.0555	0	0	0	0	0	0	0	0	1000	381729.9	0
	48	15	1	179.0555	5.37635	0.7573662		ALPHA-D-GLUCOSE	ALPHA-D-GLUCOSE	B-2min	2017_05_10RG_HILIC15-Neg_MSMLS-List	0.24365	1000	179.0555	0	0	0	0	0	0	0	0	1000	381729.9	0
	48	15	1	179.0555	5.37635	0.7573662		D-TAGATOSE	D-TAGATOSE	B-1.5min	2017_05_10RG_HILIC15-Neg_MSMLS-List	-1.05635	1000	179.0555	0	0	0	0	0	0	0	0	1000	381729.9	0
	48	15	1	179.0555	5.37635	0.7573662		D-TAGATOSE	D-TAGATOSE	B-1.5min	2017_05_10RG_HILIC15-Neg_MSMLS-List	-0.1863499	1000	179.0555	0	0	0	0	0	0	0	0	1000	381729.9	0
